实体脚,引脚名,网络名,功能/方向,外部默认/处理,备注
79,VDD,3V3_LOGIC,供电,100nF/脚,V 脚位；D 去耦
80,PC6,WD_HEARTBEAT,输出,下拉；停止翻转视为故障,D 分配；复用信号已核验
81,PC7,ARM_REQ,输出,10k 下拉；新边沿武装,D 分配；复用信号已核验
82,PG0,DRIVE_A_STOP_REQ,输出,外部门控，禁能优先,真实驱动器电平 H
83,PG1,DRIVE_B_STOP_REQ,输出,外部门控，禁能优先,真实驱动器电平 H
84,PG2,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
85,PG3,REARM_SENSE,输入,调理后，断线安全,轮询；外部电平 H
86,PG4,POWER_HEALTH,输入,调理后，断线安全,轮询；外部电平 H
87,PC8,HW_PERMIT_SENSE,输入,低为禁止,轮询，不占 EXTI8
88,PC9,SENS_FAULT_C,输入,上拉，开漏线与条件核验,轮询
89,PA8,CAN3_RX,FDCAN3_RX,收发器驱动,D 分配；复用信号已核验
90,PA9,CAN1_STB,输出,10k 上拉，待机,D 分配；复用信号已核验
91,PA10,CAN2_STB,输出,10k 上拉，待机,D 分配；复用信号已核验
92,PA11,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
93,PA12,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
94,VSS,GND,地,低阻回流,V 脚位
95,VDD,3V3_LOGIC,供电,100nF/脚,V 脚位；D 去耦
96,PA13,SWDIO,SYS_JTMS-SWDIO,保留调试,VTREF 仅采样
97,PF6,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
98,PA14,SWCLK,SYS_JTCK-SWCLK,保留调试,D 分配；复用信号已核验
99,PA15,CAN3_TX,FDCAN3_TX,10k 上拉,禁用完整 JTAG，保留 SWD
100,PC10,DEBUG_TX,UART4_TX,仅壳内测试,D 分配；复用信号已核验
101,PC11,DEBUG_RX,UART4_RX,10k 上拉,D 分配；复用信号已核验
102,PC12,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
103,PG5,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
104,PG6,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
105,PG7,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
106,PG8,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
107,PG9,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
108,PD0,CAN1_RX,FDCAN1_RX,TX 10k 上拉；RX 由收发器驱动,D 分配；复用信号已核验
109,PD1,CAN1_TX,FDCAN1_TX,TX 10k 上拉；RX 由收发器驱动,D 分配；复用信号已核验
110,VSS,GND,地,低阻回流,V 脚位
111,VDD,3V3_LOGIC,供电,100nF/脚,V 脚位；D 去耦
112,PD2,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
113,PD3,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
114,PD4,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
115,PD5,BMS_TX,USART2_TX,经匹配物理层,BMS 电平/隔离 H
116,PD6,BMS_RX,USART2_RX,经匹配物理层,BMS 电平/隔离 H
117,PD7,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
118,PB3,SWO,SYS_JTDO-SWO,可选测试点,D 分配；复用信号已核验
119,PB4,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
120,PB5,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
121,PB6,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
122,PB7,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
123,PB8-BOOT0,BOOT0,启动,10k 下拉,启动选项 H
124,PB9,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
125,PE0,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
126,PE1,NC_RESERVED,未用 GPIO,NC，初始化模拟态,不外接，不临时挪用
127,VSS,GND,地,低阻回流,V 脚位
128,VDD,3V3_LOGIC,供电,100nF/脚,V 脚位；D 去耦
