板,器件,焊盘,脚名,网络,连接去向/处理,状态,人工勾选
BCM,U201,15,PGND,GND,功率底焊盘/输入输出电容负端,必须焊接与散热,
BCM,U202,1,VIN,5V_LOGIC,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
BCM,U202,2,EN,5V_LOGIC,直接接本单元 VIN,不得悬空；UVLO 另核,
BCM,U202,3,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U202,4,DNC,DNC_U202_4,独立焊盘；无铜线/无过孔/不互连,禁止接地,
BCM,U202,5,DNC,DNC_U202_5,独立焊盘；无铜线/无过孔/不互连,禁止接地,
BCM,U202,6,PGOOD,TP_PG_U202,仅高阻测试点；不接 MCU/上拉,默认不用；时序限制 VIN+0.3V,
BCM,U202,7,VOUT,3V3_LOGIC,输出电容正端及负载,两脚均接,
BCM,U202,8,VOUT,3V3_LOGIC,输出电容正端及负载,两脚均接,
BCM,U202,9,FB,FB_U202,R2021.2 与 R2022.1,安静采样点,
BCM,U202,10,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U202,11,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U202,12,AGND,GND,反馈下阻与本地 PGND 汇合,同网，局部单点布局,
BCM,U202,13,V5V,NC_U202_V5V,不连接负载,内部 LDO，不当系统 5V,
BCM,U202,14,VIN,5V_LOGIC,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
BCM,U202,15,PGND,GND,功率底焊盘/输入输出电容负端,必须焊接与散热,
BCM,U203,1,VIN,12V_PROT,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
BCM,U203,2,EN,12V_PROT,直接接本单元 VIN,不得悬空；UVLO 另核,
BCM,U203,3,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U203,4,DNC,DNC_U203_4,独立焊盘；无铜线/无过孔/不互连,禁止接地,
BCM,U203,5,DNC,DNC_U203_5,独立焊盘；无铜线/无过孔/不互连,禁止接地,
BCM,U203,6,PGOOD,TP_PG_U203,仅高阻测试点；不接 MCU/上拉,默认不用；时序限制 VIN+0.3V,
BCM,U203,7,VOUT,4V0_MODEM,输出电容正端及负载,两脚均接,
BCM,U203,8,VOUT,4V0_MODEM,输出电容正端及负载,两脚均接,
BCM,U203,9,FB,FB_U203,R2031.2 与 R2032.1,安静采样点,
BCM,U203,10,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U203,11,NC,GND,按资料建议接 PGND,不是 DNC,
BCM,U203,12,AGND,GND,反馈下阻与本地 PGND 汇合,同网，局部单点布局,
BCM,U203,13,V5V,NC_U203_V5V,不连接负载,内部 LDO，不当系统 5V,
BCM,U203,14,VIN,12V_PROT,输入陶瓷电容正端；保护后电源,连线 V；输入/瞬态 H,
BCM,U203,15,PGND,GND,功率底焊盘/输入输出电容负端,必须焊接与散热,
BCM,U301,1,TXD,CAN1_TXD_PHY,经 R3011 到 U101.83 (PD1),S04 脚位 V；保护/布线待验证,
BCM,U301,2,GND,GND,逻辑地,S04 脚位 V；保护/布线待验证,
BCM,U301,3,VCC,5V_LOGIC,100nF + 1µF 去耦,S04 脚位 V；保护/布线待验证,
BCM,U301,4,RXD,CAN1_RX,U101.82 (PD0),S04 脚位 V；保护/布线待验证,
BCM,U301,5,VIO,3V3_LOGIC,100nF 去耦,S04 脚位 V；保护/布线待验证,
BCM,U301,6,CANL,CAN1_L_PHY,经所选接口保护/CMC 到 L,S04 脚位 V；保护/布线待验证,
BCM,U301,7,CANH,CAN1_H_PHY,经所选接口保护/CMC 到 H,S04 脚位 V；保护/布线待验证,
BCM,U301,8,STB,CAN1_STB,U101.65 (PC6),S04 脚位 V；保护/布线待验证,
BCM,U302,1,TXD,CAN2_TXD_PHY,经 R3021 到 U101.52 (PB13),S04 脚位 V；保护/布线待验证,
BCM,U302,2,GND,GND,逻辑地,S04 脚位 V；保护/布线待验证,
BCM,U302,3,VCC,5V_LOGIC,100nF + 1µF 去耦,S04 脚位 V；保护/布线待验证,
BCM,U302,4,RXD,CAN2_RX,U101.51 (PB12),S04 脚位 V；保护/布线待验证,
BCM,U302,5,VIO,3V3_LOGIC,100nF 去耦,S04 脚位 V；保护/布线待验证,
BCM,U302,6,CANL,CAN2_L_PHY,经所选接口保护/CMC 到 L,S04 脚位 V；保护/布线待验证,
BCM,U302,7,CANH,CAN2_H_PHY,经所选接口保护/CMC 到 H,S04 脚位 V；保护/布线待验证,
BCM,U302,8,STB,CAN2_STB,U101.66 (PC7),S04 脚位 V；保护/布线待验证,
VCU,U401,1,SPI/I2C,3V3_LOGIC,选择 SPI,S01 脚位 V；外设前端 H,
VCU,U401,2,LDOEN,3V3_LOGIC,启用内部 1.8V LDO,S01 脚位 V；外设前端 H,
VCU,U401,3,MISO,MAX_MISO,U101.35 (PA6)，SPI1 共享,S01 脚位 V；外设前端 H,
VCU,U401,4,SCLK,MAX_SCK_PHY,经 R4101 接 MCU MAX_SCK,S01 脚位 V；外设前端 H,
VCU,U401,5,CS,MAX_CS_A,U101.1 (PE2),S01 脚位 V；外设前端 H,
VCU,U401,6,MOSI,MAX_MOSI_PHY,经 R4102 接 MCU MAX_MOSI,S01 脚位 V；外设前端 H,
VCU,U401,7,IRQ,MAX_IRQ_A,U101.53 (PE7),S01 脚位 V；外设前端 H,
VCU,U401,8,RST,MAX_RST_A,U101.4 (PE5),S01 脚位 V；外设前端 H,
VCU,U401,9,VL,3V3_LOGIC,100nF 到 DGND,S01 脚位 V；外设前端 H,
VCU,U401,10,DGND,GND,地,S01 脚位 V；外设前端 H,
VCU,U401,11,GPIO0,NC_U401_GPIO0,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,12,GPIO1,NC_U401_GPIO1,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,13,GPIO2,NC_U401_GPIO2,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,14,GPIO3,NC_U401_GPIO3,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,15,RTS0,NC_U401_RTS0,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U401,16,CTS0,U401_CTS0,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U401,17,RX0,USONIC_1_TO_VCU_3V3,USONIC_1 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U401,18,TX0,VCU_TO_USONIC_1_3V3,USONIC_1 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U401,19,GPIO4,NC_U401_GPIO4,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,20,GPIO5,NC_U401_GPIO5,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,21,GPIO6,NC_U401_GPIO6,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,22,GPIO7,NC_U401_GPIO7,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,23,RTS1,NC_U401_RTS1,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U401,24,CTS1,U401_CTS1,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U401,25,RX1,USONIC_2_TO_VCU_3V3,USONIC_2 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U401,26,TX1,VCU_TO_USONIC_2_3V3,USONIC_2 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U401,27,GPIO8,NC_U401_GPIO8,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,28,GPIO9,NC_U401_GPIO9,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,29,GPIO10,NC_U401_GPIO10,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,30,GPIO11,NC_U401_GPIO11,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,31,RTS2,NC_U401_RTS2,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U401,32,CTS2,U401_CTS2,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U401,33,RX2,USONIC_3_TO_VCU_3V3,USONIC_3 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U401,34,TX2,VCU_TO_USONIC_3_3V3,USONIC_3 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U401,35,GPIO12,NC_U401_GPIO12,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,36,GPIO13,NC_U401_GPIO13,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,37,GPIO14,NC_U401_GPIO14,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,38,GPIO15,NC_U401_GPIO15,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U401,39,RTS3,NC_U401_RTS3,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U401,40,CTS3,U401_CTS3,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U401,41,RX3,USONIC_4_TO_VCU_3V3,USONIC_4 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U401,42,TX3,VCU_TO_USONIC_4_3V3,USONIC_4 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U401,43,VEXT,3V3_LOGIC,100nF 到 DGND,S01 脚位 V；外设前端 H,
VCU,U401,44,XOUT,U401_XOUT,Y401.2，外部负载电容 DNP,S01 脚位 V；外设前端 H,
VCU,U401,45,XIN,U401_XIN,Y401.1，外部负载电容 DNP,S01 脚位 V；外设前端 H,
VCU,U401,46,AGND,GND,必须独立接地，不只靠 EP,S01 脚位 V；外设前端 H,
VCU,U401,47,VA,3V3_LOGIC,100nF 到 AGND,S01 脚位 V；外设前端 H,
VCU,U401,48,V18,U401_V18,1µF 到地；不接 3V3/外部负载,S01 脚位 V；外设前端 H,
VCU,U401,EP,EP,GND,接 AGND；焊盘编号按受控 footprint 核对,S01 脚位 V；外设前端 H,
VCU,U402,1,SPI/I2C,3V3_LOGIC,选择 SPI,S01 脚位 V；外设前端 H,
VCU,U402,2,LDOEN,3V3_LOGIC,启用内部 1.8V LDO,S01 脚位 V；外设前端 H,
VCU,U402,3,MISO,MAX_MISO,U101.35 (PA6)，SPI1 共享,S01 脚位 V；外设前端 H,
VCU,U402,4,SCLK,MAX_SCK_PHY,经 R4101 接 MCU MAX_SCK,S01 脚位 V；外设前端 H,
VCU,U402,5,CS,MAX_CS_B,U101.2 (PE3),S01 脚位 V；外设前端 H,
VCU,U402,6,MOSI,MAX_MOSI_PHY,经 R4102 接 MCU MAX_MOSI,S01 脚位 V；外设前端 H,
VCU,U402,7,IRQ,MAX_IRQ_B,U101.54 (PE8),S01 脚位 V；外设前端 H,
VCU,U402,8,RST,MAX_RST_B,U101.5 (PE6),S01 脚位 V；外设前端 H,
VCU,U402,9,VL,3V3_LOGIC,100nF 到 DGND,S01 脚位 V；外设前端 H,
VCU,U402,10,DGND,GND,地,S01 脚位 V；外设前端 H,
VCU,U402,11,GPIO0,NC_U402_GPIO0,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,12,GPIO1,NC_U402_GPIO1,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,13,GPIO2,NC_U402_GPIO2,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,14,GPIO3,NC_U402_GPIO3,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,15,RTS0,NC_U402_RTS0,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U402,16,CTS0,U402_CTS0,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U402,17,RX0,USONIC_5_TO_VCU_3V3,USONIC_5 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U402,18,TX0,VCU_TO_USONIC_5_3V3,USONIC_5 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U402,19,GPIO4,NC_U402_GPIO4,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,20,GPIO5,NC_U402_GPIO5,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,21,GPIO6,NC_U402_GPIO6,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,22,GPIO7,NC_U402_GPIO7,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,23,RTS1,NC_U402_RTS1,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U402,24,CTS1,U402_CTS1,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U402,25,RX1,USONIC_6_TO_VCU_3V3,USONIC_6 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U402,26,TX1,VCU_TO_USONIC_6_3V3,USONIC_6 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U402,27,GPIO8,NC_U402_GPIO8,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,28,GPIO9,NC_U402_GPIO9,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,29,GPIO10,NC_U402_GPIO10,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,30,GPIO11,NC_U402_GPIO11,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,31,RTS2,NC_U402_RTS2,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U402,32,CTS2,U402_CTS2,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U402,33,RX2,USONIC_7_TO_VCU_3V3,USONIC_7 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U402,34,TX2,VCU_TO_USONIC_7_3V3,USONIC_7 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U402,35,GPIO12,NC_U402_GPIO12,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,36,GPIO13,NC_U402_GPIO13,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,37,GPIO14,NC_U402_GPIO14,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,38,GPIO15,NC_U402_GPIO15,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U402,39,RTS3,NC_U402_RTS3,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U402,40,CTS3,U402_CTS3,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U402,41,RX3,USONIC_8_TO_VCU_3V3,USONIC_8 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U402,42,TX3,VCU_TO_USONIC_8_3V3,USONIC_8 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U402,43,VEXT,3V3_LOGIC,100nF 到 DGND,S01 脚位 V；外设前端 H,
VCU,U402,44,XOUT,U402_XOUT,Y402.2，外部负载电容 DNP,S01 脚位 V；外设前端 H,
VCU,U402,45,XIN,U402_XIN,Y402.1，外部负载电容 DNP,S01 脚位 V；外设前端 H,
VCU,U402,46,AGND,GND,必须独立接地，不只靠 EP,S01 脚位 V；外设前端 H,
VCU,U402,47,VA,3V3_LOGIC,100nF 到 AGND,S01 脚位 V；外设前端 H,
VCU,U402,48,V18,U402_V18,1µF 到地；不接 3V3/外部负载,S01 脚位 V；外设前端 H,
VCU,U402,EP,EP,GND,接 AGND；焊盘编号按受控 footprint 核对,S01 脚位 V；外设前端 H,
VCU,U403,1,SPI/I2C,3V3_LOGIC,选择 SPI,S01 脚位 V；外设前端 H,
VCU,U403,2,LDOEN,3V3_LOGIC,启用内部 1.8V LDO,S01 脚位 V；外设前端 H,
VCU,U403,3,MISO,MAX_MISO,U101.35 (PA6)，SPI1 共享,S01 脚位 V；外设前端 H,
VCU,U403,4,SCLK,MAX_SCK_PHY,经 R4101 接 MCU MAX_SCK,S01 脚位 V；外设前端 H,
VCU,U403,5,CS,MAX_CS_C,U101.3 (PE4),S01 脚位 V；外设前端 H,
VCU,U403,6,MOSI,MAX_MOSI_PHY,经 R4102 接 MCU MAX_MOSI,S01 脚位 V；外设前端 H,
VCU,U403,7,IRQ,MAX_IRQ_C,U101.55 (PE9),S01 脚位 V；外设前端 H,
VCU,U403,8,RST,MAX_RST_C,U101.26 (PF2),S01 脚位 V；外设前端 H,
VCU,U403,9,VL,3V3_LOGIC,100nF 到 DGND,S01 脚位 V；外设前端 H,
VCU,U403,10,DGND,GND,地,S01 脚位 V；外设前端 H,
VCU,U403,11,GPIO0,NC_U403_GPIO0,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,12,GPIO1,NC_U403_GPIO1,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,13,GPIO2,NC_U403_GPIO2,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,14,GPIO3,NC_U403_GPIO3,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,15,RTS0,NC_U403_RTS0,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U403,16,CTS0,U403_CTS0,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U403,17,RX0,TOF_1_TO_VCU_3V3,TOF_1 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U403,18,TX0,VCU_TO_TOF_1_3V3,TOF_1 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U403,19,GPIO4,NC_U403_GPIO4,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,20,GPIO5,NC_U403_GPIO5,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,21,GPIO6,NC_U403_GPIO6,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,22,GPIO7,NC_U403_GPIO7,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,23,RTS1,NC_U403_RTS1,输出未用，NC；不接电源/地,S01 脚位 V；外设前端 H,
VCU,U403,24,CTS1,U403_CTS1,经独立 10k 到地；不启用流控,S01 脚位 V；外设前端 H,
VCU,U403,25,RX1,TOF_2_TO_VCU_3V3,TOF_2 电平前端逻辑输出；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U403,26,TX1,VCU_TO_TOF_2_3V3,TOF_2 电平前端逻辑输入；外设侧 H,S01 脚位 V；外设前端 H,
VCU,U403,27,GPIO8,NC_U403_GPIO8,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
VCU,U403,28,GPIO9,NC_U403_GPIO9,未用，保留内部弱下拉，配置输入；不硬接地,S01 脚位 V；外设前端 H,
